Animal_Type,Age_years,Fever_Detected,Appetite_Loss,Physical_Weakness,Vaccination_Status,Core_Temperature_C,Surrounding_Humidity_%,Disease
Cow,10.1,No,No,Yes,Up to date,41.3,42,Minor Illness
Buffalo,10.7,No,Yes,Yes,Up to date,39.4,44,Infection
Goat,5.3,Yes,No,No,Up to date,38.7,44,Minor Illness
Sheep,0.6,Yes,Yes,No,Not up to date,41.2,61,FMD
Sheep,9.7,Yes,No,Yes,Not up to date,41.3,44,FMD
Buffalo,8.9,Yes,Yes,No,Not up to date,41.4,48,Lumpy Skin Disease
Cow,5.0,Yes,No,Yes,Up to date,38.2,40,Minor Illness
Cow,11.3,No,Yes,No,Up to date,39.9,65,Minor Illness
Goat,1.0,No,No,No,Not up to date,38.3,53,Healthy
Goat,11.9,No,Yes,No,Up to date,37.8,76,Minor Illness
Cow,2.1,Yes,Yes,No,Up to date,41.2,51,Lumpy Skin Disease
Sheep,6.7,No,Yes,No,Up to date,40.3,82,Minor Illness
Sheep,5.4,Yes,No,Yes,Up to date,40.8,75,FMD
Sheep,1.4,Yes,Yes,No,Not up to date,37.8,86,Minor Illness
Cow,4.4,Yes,No,No,Not up to date,39.1,67,Minor Illness
Goat,7.8,No,No,Yes,Up to date,38.6,89,Minor Illness
Sheep,4.3,No,Yes,No,Not up to date,40.7,86,Minor Illness
Cow,11.3,No,No,Yes,Not up to date,38.7,79,Minor Illness
Sheep,5.8,No,No,Yes,Not up to date,41.0,70,Minor Illness
Cow,9.8,No,Yes,Yes,Up to date,41.5,42,Infection
Goat,6.6,No,Yes,No,Up to date,38.3,76,Minor Illness
Cow,8.1,Yes,Yes,Yes,Up to date,37.9,60,Infection
Sheep,8.0,Yes,Yes,No,Up to date,39.1,52,Minor Illness
Buffalo,11.0,No,Yes,No,Not up to date,38.9,53,Minor Illness
Cow,8.0,Yes,No,Yes,Not up to date,40.6,66,Lumpy Skin Disease
Goat,11.2,Yes,Yes,Yes,Up to date,40.0,40,Infection
Cow,9.5,No,No,No,Up to date,37.8,89,Healthy
Cow,6.1,No,No,Yes,Up to date,37.9,64,Minor Illness
Cow,6.7,Yes,Yes,Yes,Up to date,41.4,44,Lumpy Skin Disease
Cow,8.9,No,No,No,Up to date,39.1,78,Healthy
Buffalo,11.1,No,No,Yes,Up to date,38.3,87,Minor Illness
Buffalo,2.3,No,Yes,No,Not up to date,40.0,43,Minor Illness
Cow,3.0,Yes,No,No,Not up to date,40.3,86,FMD
Sheep,1.8,Yes,Yes,Yes,Not up to date,41.2,56,Lumpy Skin Disease
Goat,1.4,Yes,Yes,No,Not up to date,40.1,84,FMD
Buffalo,6.1,No,Yes,Yes,Not up to date,40.7,75,Infection
Buffalo,1.2,Yes,No,No,Up to date,38.2,73,Minor Illness
Cow,1.4,Yes,No,Yes,Up to date,39.4,71,Minor Illness
Sheep,10.5,No,Yes,No,Not up to date,40.8,56,Minor Illness
Cow,1.0,Yes,Yes,Yes,Up to date,40.0,73,Infection
Goat,9.5,No,Yes,No,Up to date,37.6,68,Minor Illness
Buffalo,6.7,No,No,No,Up to date,41.2,80,Healthy
Cow,3.1,No,No,Yes,Up to date,37.6,45,Minor Illness
Sheep,6.8,No,Yes,No,Not up to date,39.4,71,Minor Illness
Goat,5.6,Yes,No,Yes,Up to date,37.8,64,Minor Illness
Goat,7.1,Yes,Yes,Yes,Up to date,37.7,70,Infection
Cow,5.9,No,Yes,Yes,Not up to date,41.5,42,Infection
Goat,9.6,No,No,No,Up to date,40.5,60,Healthy
Sheep,10.3,No,Yes,No,Up to date,39.5,90,Minor Illness
Goat,8.2,No,Yes,No,Up to date,40.1,59,Minor Illness
Cow,5.0,Yes,No,Yes,Not up to date,38.5,69,Minor Illness
Goat,1.6,No,Yes,No,Up to date,38.7,59,Minor Illness
Sheep,11.0,No,No,No,Up to date,37.7,71,Healthy
Sheep,5.5,No,No,Yes,Up to date,38.8,82,Minor Illness
Goat,4.4,Yes,Yes,Yes,Not up to date,40.7,43,FMD
Goat,11.2,No,Yes,No,Not up to date,38.2,40,Minor Illness
Buffalo,5.8,Yes,No,No,Up to date,39.1,81,Minor Illness
Sheep,7.1,Yes,No,Yes,Up to date,40.1,52,FMD
Goat,10.8,No,No,No,Not up to date,41.1,89,Healthy
Buffalo,2.7,No,No,No,Not up to date,38.1,74,Healthy
Goat,4.2,No,No,Yes,Up to date,40.2,80,Minor Illness
Buffalo,5.8,No,Yes,No,Not up to date,39.0,70,Minor Illness
Sheep,9.2,Yes,Yes,Yes,Up to date,37.7,79,Infection
Buffalo,1.0,Yes,Yes,No,Up to date,39.2,68,Minor Illness
Sheep,3.7,Yes,No,No,Up to date,40.1,87,FMD
Goat,11.7,Yes,Yes,Yes,Up to date,39.8,41,Infection
Cow,4.3,Yes,No,No,Not up to date,41.4,76,FMD
Sheep,8.1,No,No,Yes,Not up to date,37.8,80,Minor Illness
Buffalo,11.0,Yes,No,Yes,Up to date,39.2,82,Minor Illness
Cow,8.7,No,Yes,Yes,Not up to date,39.6,57,Infection
Cow,10.5,No,No,No,Up to date,38.4,40,Healthy
Cow,7.3,Yes,No,Yes,Up to date,39.7,90,Minor Illness
Sheep,7.1,Yes,Yes,No,Up to date,40.9,83,FMD
Buffalo,0.6,No,No,No,Up to date,38.7,72,Healthy
Cow,11.7,No,Yes,No,Up to date,40.8,80,Minor Illness
Goat,5.7,Yes,Yes,No,Not up to date,39.0,61,Minor Illness
Goat,1.2,Yes,No,Yes,Not up to date,39.3,49,Minor Illness
Sheep,9.7,Yes,No,No,Not up to date,40.9,54,Lumpy Skin Disease
Sheep,6.9,No,Yes,No,Up to date,40.7,63,Minor Illness
Cow,3.1,Yes,Yes,Yes,Not up to date,37.5,80,Infection
Cow,3.1,No,Yes,Yes,Not up to date,38.7,89,Infection
Cow,10.5,Yes,No,Yes,Up to date,39.1,77,Minor Illness
Buffalo,8.3,No,No,No,Up to date,40.6,43,Healthy
Buffalo,9.5,No,Yes,Yes,Up to date,37.7,40,Infection
Cow,6.8,No,Yes,Yes,Up to date,39.4,75,Infection
Sheep,2.6,Yes,No,No,Up to date,39.6,56,Minor Illness
Buffalo,8.0,No,Yes,Yes,Up to date,40.7,42,Infection
Goat,10.4,Yes,No,Yes,Not up to date,40.2,71,FMD
Sheep,3.7,No,Yes,Yes,Up to date,40.9,78,Infection
Buffalo,4.4,No,Yes,Yes,Not up to date,39.4,42,Infection
Sheep,7.8,No,No,No,Up to date,39.1,82,Healthy
Sheep,7.1,No,Yes,Yes,Not up to date,37.9,90,Infection
Goat,3.0,No,Yes,Yes,Not up to date,38.1,60,Infection
Sheep,1.6,Yes,No,Yes,Up to date,40.1,68,FMD
Buffalo,3.9,Yes,Yes,Yes,Not up to date,39.1,80,Infection
Cow,8.8,No,Yes,No,Up to date,41.0,75,Minor Illness
Sheep,1.5,Yes,Yes,No,Up to date,40.5,86,FMD
Cow,6.9,No,No,No,Up to date,37.6,55,Healthy
Goat,1.9,No,Yes,Yes,Not up to date,41.0,46,Infection
Sheep,7.5,Yes,No,Yes,Not up to date,40.1,89,FMD
Buffalo,9.9,Yes,No,Yes,Not up to date,39.3,54,Minor Illness
Buffalo,1.2,No,Yes,Yes,Up to date,40.6,82,Infection
Sheep,7.3,Yes,No,Yes,Up to date,39.8,90,Minor Illness
Goat,11.0,No,No,Yes,Up to date,38.3,56,Minor Illness
Cow,9.0,No,No,Yes,Up to date,40.5,51,Minor Illness
Goat,1.7,Yes,Yes,No,Not up to date,40.6,54,Lumpy Skin Disease
Buffalo,1.9,Yes,No,Yes,Up to date,37.8,62,Minor Illness
Buffalo,7.4,Yes,Yes,Yes,Up to date,41.1,45,FMD
Sheep,8.3,Yes,No,No,Up to date,40.8,89,Lumpy Skin Disease
Cow,2.7,Yes,No,Yes,Not up to date,39.0,89,Minor Illness
Goat,10.6,No,No,Yes,Not up to date,39.5,61,Minor Illness
Sheep,10.9,No,Yes,No,Up to date,38.8,60,Minor Illness
Cow,0.6,No,Yes,No,Up to date,38.6,90,Minor Illness
Buffalo,9.5,Yes,No,Yes,Not up to date,41.5,79,Lumpy Skin Disease
Sheep,3.5,No,No,Yes,Up to date,39.4,58,Minor Illness
Buffalo,7.9,No,Yes,No,Not up to date,39.1,61,Minor Illness
Buffalo,3.0,No,Yes,Yes,Up to date,38.1,77,Infection
Buffalo,7.2,No,Yes,No,Up to date,38.3,79,Minor Illness
Goat,7.2,No,No,Yes,Not up to date,41.5,70,Minor Illness
Goat,2.2,Yes,Yes,Yes,Not up to date,38.5,70,Infection
Cow,6.5,No,No,No,Not up to date,39.2,82,Healthy
Goat,2.7,Yes,Yes,Yes,Not up to date,40.0,65,Infection
Cow,9.1,No,Yes,Yes,Not up to date,38.7,57,Infection
Buffalo,6.4,No,Yes,Yes,Up to date,38.3,57,Infection
Buffalo,3.2,Yes,Yes,No,Not up to date,38.8,47,Minor Illness
Buffalo,4.0,Yes,No,No,Not up to date,39.1,60,Minor Illness
Sheep,8.0,Yes,Yes,Yes,Up to date,38.5,70,Infection
Goat,7.2,Yes,No,Yes,Up to date,39.1,45,Minor Illness
Buffalo,4.1,No,No,No,Up to date,39.4,46,Healthy
Buffalo,11.7,Yes,Yes,No,Up to date,38.2,88,Minor Illness
Goat,6.8,No,No,No,Up to date,39.2,58,Healthy
Cow,4.6,No,No,No,Up to date,39.8,66,Healthy
Buffalo,1.7,No,No,Yes,Not up to date,38.3,76,Minor Illness
Cow,10.1,Yes,Yes,Yes,Not up to date,40.5,46,FMD
Sheep,3.4,No,Yes,Yes,Not up to date,37.8,50,Infection
Goat,9.0,No,No,Yes,Not up to date,38.0,84,Minor Illness
Goat,10.4,No,Yes,Yes,Not up to date,39.7,63,Infection
Sheep,8.3,Yes,Yes,Yes,Up to date,39.5,88,Infection
Goat,7.2,Yes,No,Yes,Up to date,38.0,59,Minor Illness
Cow,1.5,No,No,Yes,Up to date,39.4,76,Minor Illness
Goat,2.7,No,Yes,Yes,Not up to date,40.5,70,Infection
Buffalo,9.9,No,No,No,Up to date,38.7,77,Healthy
Buffalo,4.3,No,No,No,Not up to date,39.0,59,Healthy
Goat,11.6,No,No,No,Not up to date,41.1,68,Healthy
Goat,5.1,Yes,Yes,No,Not up to date,39.5,85,Minor Illness
Cow,4.4,No,No,No,Up to date,38.5,42,Healthy
Goat,0.9,Yes,Yes,No,Up to date,37.9,84,Minor Illness
Sheep,4.4,No,No,No,Not up to date,40.2,80,Healthy
Cow,10.2,Yes,No,Yes,Up to date,39.9,59,Minor Illness
Sheep,2.8,Yes,Yes,Yes,Up to date,40.4,85,FMD
Sheep,7.2,No,No,Yes,Not up to date,38.7,41,Minor Illness
Sheep,11.9,No,No,Yes,Not up to date,39.4,66,Minor Illness
Buffalo,10.5,Yes,No,Yes,Not up to date,38.2,55,Minor Illness
Buffalo,6.7,No,No,No,Not up to date,39.2,63,Healthy
Cow,11.7,Yes,Yes,Yes,Not up to date,40.4,74,Lumpy Skin Disease
Cow,4.9,Yes,No,Yes,Not up to date,39.3,68,Minor Illness
Sheep,5.4,Yes,No,No,Not up to date,40.7,43,Lumpy Skin Disease
Sheep,6.4,Yes,No,No,Not up to date,38.6,59,Minor Illness
Goat,5.8,Yes,Yes,Yes,Not up to date,40.6,40,Lumpy Skin Disease
Sheep,6.0,Yes,No,Yes,Up to date,38.8,40,Minor Illness
Buffalo,6.8,Yes,Yes,No,Not up to date,41.0,56,FMD
Sheep,6.3,Yes,Yes,Yes,Up to date,40.8,50,FMD
Buffalo,4.1,No,Yes,No,Up to date,37.9,74,Minor Illness
Cow,7.3,No,Yes,No,Up to date,39.8,61,Minor Illness
Goat,1.0,Yes,No,Yes,Up to date,39.2,67,Minor Illness
Sheep,10.1,No,No,No,Not up to date,41.1,71,Healthy
Cow,1.3,Yes,Yes,No,Up to date,41.2,50,FMD
Cow,10.7,Yes,Yes,No,Not up to date,39.8,88,Minor Illness
Goat,5.1,Yes,Yes,No,Not up to date,41.0,77,FMD
Buffalo,5.4,Yes,No,Yes,Up to date,41.3,74,Lumpy Skin Disease
Sheep,6.6,No,No,Yes,Not up to date,38.7,56,Minor Illness
Sheep,11.3,Yes,Yes,No,Not up to date,39.6,41,Minor Illness
Cow,6.5,No,No,Yes,Up to date,38.4,53,Minor Illness
Buffalo,0.6,No,No,Yes,Not up to date,39.5,88,Minor Illness
Buffalo,2.5,No,Yes,No,Not up to date,37.6,65,Minor Illness
Cow,4.3,Yes,No,No,Not up to date,40.0,70,Minor Illness
Sheep,9.8,Yes,No,Yes,Up to date,40.1,55,Lumpy Skin Disease
Sheep,1.4,No,No,Yes,Not up to date,37.5,84,Minor Illness
Cow,6.9,Yes,Yes,Yes,Up to date,38.3,62,Infection
Goat,10.6,Yes,No,No,Up to date,40.4,89,Lumpy Skin Disease
Sheep,9.3,Yes,No,Yes,Up to date,37.8,90,Minor Illness
Buffalo,6.7,Yes,Yes,Yes,Up to date,37.7,77,Infection
Goat,2.4,No,No,No,Not up to date,40.2,70,Healthy
Goat,10.3,Yes,Yes,Yes,Not up to date,40.1,40,Lumpy Skin Disease
Goat,9.9,No,No,Yes,Up to date,39.4,63,Minor Illness
Sheep,5.4,Yes,No,Yes,Up to date,40.6,74,Lumpy Skin Disease
Goat,7.5,Yes,No,Yes,Up to date,38.1,43,Minor Illness
Cow,11.7,Yes,No,No,Not up to date,41.1,48,FMD
Cow,3.5,No,Yes,No,Not up to date,38.6,76,Minor Illness
Sheep,10.2,No,Yes,Yes,Not up to date,41.4,68,Infection
Cow,2.1,Yes,Yes,Yes,Not up to date,38.2,49,Infection
Goat,3.7,No,No,No,Up to date,41.3,83,Healthy
Goat,6.3,No,Yes,No,Not up to date,40.1,77,Minor Illness
Goat,8.2,Yes,No,No,Up to date,39.5,74,Minor Illness
Buffalo,9.9,No,Yes,Yes,Up to date,39.5,59,Infection
Sheep,2.3,Yes,Yes,No,Not up to date,38.6,71,Minor Illness
Goat,6.3,No,Yes,Yes,Up to date,39.8,82,Infection
Sheep,8.5,Yes,Yes,No,Up to date,39.9,41,Minor Illness
Buffalo,10.7,No,Yes,Yes,Not up to date,40.3,55,Infection
Buffalo,11.4,No,Yes,No,Up to date,39.6,43,Minor Illness
Buffalo,2.3,No,Yes,No,Up to date,40.2,46,Minor Illness
Buffalo,3.7,No,No,Yes,Up to date,39.9,58,Minor Illness
Buffalo,4.6,No,No,No,Up to date,40.0,88,Healthy
Goat,6.6,No,No,No,Up to date,40.9,70,Healthy
Buffalo,9.9,Yes,Yes,No,Not up to date,38.8,45,Minor Illness
Buffalo,5.4,Yes,Yes,Yes,Up to date,38.9,67,Infection
Buffalo,3.9,No,No,Yes,Not up to date,41.3,42,Minor Illness
Cow,1.2,Yes,No,Yes,Up to date,39.7,80,Minor Illness
Goat,11.4,No,No,No,Not up to date,37.7,57,Healthy
Buffalo,5.0,No,No,No,Not up to date,39.7,59,Healthy
Buffalo,9.4,No,Yes,Yes,Not up to date,40.5,82,Infection
Sheep,2.5,No,No,No,Up to date,39.9,49,Healthy
Sheep,6.3,No,Yes,Yes,Not up to date,41.4,72,Infection
Buffalo,1.6,Yes,No,No,Up to date,38.5,41,Minor Illness
Buffalo,9.7,No,No,No,Not up to date,39.4,64,Healthy
Cow,4.9,No,No,No,Up to date,39.0,50,Healthy
Sheep,3.1,Yes,No,Yes,Not up to date,38.4,70,Minor Illness
Buffalo,7.3,Yes,Yes,No,Up to date,40.0,78,Minor Illness
Goat,2.3,Yes,No,No,Not up to date,38.3,85,Minor Illness
Sheep,4.2,No,No,Yes,Not up to date,40.4,54,Minor Illness
Cow,7.9,Yes,No,No,Not up to date,38.1,82,Minor Illness
Cow,2.8,Yes,Yes,Yes,Not up to date,38.6,46,Infection
Cow,9.5,Yes,No,Yes,Up to date,38.3,88,Minor Illness
Buffalo,11.6,Yes,No,No,Up to date,40.0,62,Minor Illness
Goat,7.5,No,Yes,Yes,Not up to date,38.1,66,Infection
Sheep,8.3,No,Yes,No,Not up to date,40.6,71,Minor Illness
Sheep,2.6,No,No,Yes,Not up to date,39.9,63,Minor Illness
Buffalo,0.5,Yes,No,Yes,Up to date,41.1,56,FMD
Sheep,10.0,No,Yes,Yes,Up to date,40.0,45,Infection
Goat,2.1,No,Yes,Yes,Not up to date,38.4,89,Infection
Sheep,6.8,Yes,Yes,Yes,Not up to date,39.7,87,Infection
Goat,11.9,No,No,Yes,Not up to date,37.8,51,Minor Illness
Buffalo,11.8,Yes,No,No,Not up to date,38.2,78,Minor Illness
Cow,0.6,No,No,Yes,Up to date,41.3,79,Minor Illness
Cow,4.9,No,No,No,Up to date,41.1,69,Healthy
Buffalo,11.4,No,Yes,Yes,Not up to date,40.9,73,Infection
Sheep,5.0,Yes,No,No,Up to date,40.8,46,Lumpy Skin Disease
Goat,9.7,Yes,Yes,Yes,Up to date,40.7,69,FMD
Goat,1.1,No,No,Yes,Not up to date,39.2,60,Minor Illness
Sheep,5.5,No,Yes,No,Not up to date,37.9,55,Minor Illness
Sheep,5.4,No,No,Yes,Not up to date,40.9,81,Minor Illness
Buffalo,9.7,Yes,Yes,No,Up to date,40.8,71,Lumpy Skin Disease
Cow,7.0,Yes,Yes,Yes,Up to date,39.7,76,Infection
Sheep,6.6,Yes,No,No,Not up to date,40.6,83,FMD
Goat,10.1,No,Yes,Yes,Up to date,41.2,52,Infection
Goat,9.8,Yes,No,Yes,Not up to date,38.2,78,Minor Illness
Goat,1.2,Yes,Yes,No,Not up to date,38.9,58,Minor Illness
Cow,7.2,No,No,No,Not up to date,41.1,80,Healthy
Cow,11.8,No,No,No,Up to date,40.7,58,Healthy
Sheep,8.8,Yes,No,No,Not up to date,39.8,44,Minor Illness
Cow,2.9,No,Yes,No,Not up to date,39.7,51,Minor Illness
Goat,8.8,No,Yes,No,Up to date,38.2,75,Minor Illness
Cow,5.7,No,Yes,Yes,Not up to date,40.0,86,Infection
Sheep,9.8,No,No,No,Not up to date,39.3,61,Healthy
Sheep,1.0,Yes,Yes,No,Up to date,38.7,79,Minor Illness
Sheep,1.6,No,No,Yes,Up to date,38.8,45,Minor Illness
Buffalo,9.4,Yes,No,Yes,Up to date,38.1,72,Minor Illness
Goat,3.2,Yes,Yes,No,Not up to date,38.0,88,Minor Illness
Sheep,4.7,Yes,Yes,Yes,Up to date,40.6,62,Lumpy Skin Disease
Cow,0.8,No,No,No,Not up to date,39.2,62,Healthy
Sheep,6.0,No,No,No,Up to date,39.2,86,Healthy
Buffalo,8.4,Yes,Yes,Yes,Not up to date,41.1,58,FMD
Cow,3.2,Yes,No,Yes,Up to date,38.6,50,Minor Illness
Sheep,10.6,No,No,Yes,Up to date,40.5,79,Minor Illness
Buffalo,9.4,Yes,Yes,Yes,Not up to date,39.6,84,Infection
Cow,6.9,Yes,Yes,No,Not up to date,37.5,84,Minor Illness
Goat,3.0,Yes,No,No,Up to date,39.3,82,Minor Illness
Buffalo,10.8,No,No,Yes,Up to date,39.8,89,Minor Illness
Sheep,11.8,Yes,No,Yes,Not up to date,40.0,47,Minor Illness
Sheep,4.1,Yes,No,Yes,Up to date,40.3,56,Lumpy Skin Disease
Buffalo,11.4,Yes,Yes,Yes,Not up to date,40.3,61,Lumpy Skin Disease
Sheep,8.5,Yes,Yes,Yes,Not up to date,38.3,81,Infection
Sheep,11.1,No,No,No,Not up to date,39.4,41,Healthy
Buffalo,5.3,Yes,Yes,No,Not up to date,37.5,62,Minor Illness
Goat,3.7,No,Yes,No,Not up to date,41.3,88,Minor Illness
Cow,1.3,No,Yes,No,Up to date,38.7,53,Minor Illness
Buffalo,8.4,No,Yes,No,Up to date,40.6,43,Minor Illness
Sheep,8.8,No,No,Yes,Not up to date,40.2,78,Minor Illness
Sheep,9.7,No,Yes,Yes,Not up to date,38.5,61,Infection
Cow,3.2,No,No,No,Up to date,38.5,83,Healthy
Buffalo,11.8,Yes,Yes,No,Up to date,40.3,84,Lumpy Skin Disease
Sheep,3.5,No,No,Yes,Up to date,40.5,70,Minor Illness
Cow,9.2,No,No,Yes,Up to date,38.5,73,Minor Illness
Buffalo,7.9,No,Yes,No,Not up to date,39.5,85,Minor Illness
Goat,4.4,No,No,No,Not up to date,39.0,51,Healthy
Sheep,3.8,No,No,No,Not up to date,37.7,45,Healthy
Sheep,11.9,Yes,No,No,Up to date,40.6,44,Lumpy Skin Disease
Buffalo,5.3,Yes,Yes,No,Not up to date,37.9,71,Minor Illness
Cow,11.0,No,Yes,No,Up to date,37.9,71,Minor Illness
Buffalo,9.1,Yes,Yes,No,Not up to date,41.2,87,Lumpy Skin Disease
Cow,11.4,Yes,Yes,No,Not up to date,37.7,72,Minor Illness
Goat,4.1,Yes,Yes,Yes,Up to date,39.1,52,Infection
Sheep,7.4,No,No,Yes,Up to date,38.2,43,Minor Illness
Cow,11.2,Yes,No,No,Not up to date,37.9,65,Minor Illness
Goat,7.5,Yes,Yes,No,Not up to date,37.8,61,Minor Illness
Goat,7.7,Yes,Yes,No,Up to date,38.5,87,Minor Illness
Buffalo,2.6,Yes,No,No,Not up to date,39.7,89,Minor Illness
Cow,8.6,No,Yes,No,Up to date,39.9,42,Minor Illness
Cow,7.4,Yes,Yes,No,Not up to date,40.5,68,Lumpy Skin Disease
Goat,3.3,No,Yes,Yes,Not up to date,41.2,57,Infection
Goat,3.8,No,No,Yes,Not up to date,37.8,60,Minor Illness
Goat,8.8,No,Yes,Yes,Not up to date,41.1,52,Infection
