Animal,Age,Fever,AppetiteLoss,Weakness,Vaccination,Temp,Humidity,Disease
Buffalo,2,No,No,No,Up to date,38.4,55.5,Healthy
Buffalo,15,No,No,No,Up to date,37.6,59.1,Healthy
Goat,4,Yes,No,Yes,Not Vaccinated,39.3,84.5,Respiratory Infection
Cow,7,No,No,No,Up to date,38.5,58.6,Healthy
Cow,5,Yes,Yes,No,Up to date,39.1,84.7,Respiratory Infection
Buffalo,2,No,No,No,Not Vaccinated,37.6,59.4,Healthy
Goat,8,No,Yes,Yes,Up to date,39.2,80.1,Mastitis
Sheep,9,No,No,No,Not Vaccinated,37.9,36.4,Healthy
Goat,13,Yes,Yes,Yes,Not Vaccinated,37.7,84.8,Respiratory Infection
Cow,4,No,No,No,Not Vaccinated,37.6,81.4,Healthy
Buffalo,9,No,Yes,Yes,Not Vaccinated,40.7,80.6,Heat Stress
Sheep,2,No,No,No,Not Vaccinated,38.0,43.6,Healthy
Goat,5,Yes,No,No,Not Vaccinated,41.2,88.5,Heat Stress
Goat,5,No,No,No,Not Vaccinated,37.9,57.5,Healthy
Goat,11,Yes,Yes,Yes,Up to date,39.5,41.3,Mastitis
Buffalo,3,No,No,No,Up to date,37.6,87.6,Healthy
Sheep,3,No,No,No,Not Vaccinated,38.1,63.0,Healthy
Sheep,5,No,No,No,Up to date,37.9,42.6,Healthy
Goat,4,No,Yes,No,Not Vaccinated,39.3,88.7,Mastitis
Sheep,11,No,No,No,Not Vaccinated,38.4,85.7,Healthy
Buffalo,13,Yes,No,No,Up to date,41.5,83.4,Heat Stress
Sheep,13,No,No,No,Up to date,37.8,86.2,Healthy
Cow,10,No,No,No,Not Vaccinated,38.0,82.9,Healthy
Cow,4,No,No,No,Not Vaccinated,38.0,43.1,Healthy
Goat,6,Yes,No,Yes,Not Vaccinated,40.5,58.7,Foot and Mouth
Goat,2,No,No,No,Not Vaccinated,37.9,55.4,Healthy
Sheep,6,Yes,No,No,Up to date,41.1,88.0,Heat Stress
Cow,14,No,No,No,Not Vaccinated,38.0,41.1,Healthy
Goat,14,No,No,No,Not Vaccinated,38.1,41.1,Healthy
Buffalo,13,No,No,No,Not Vaccinated,38.3,43.0,Healthy
Sheep,6,No,No,No,Up to date,37.5,35.5,Healthy
Goat,5,No,No,No,Up to date,37.8,39.0,Healthy
Goat,8,No,No,No,Up to date,38.2,62.7,Healthy
Sheep,10,Yes,Yes,No,Up to date,39.9,40.4,Mastitis
Buffalo,8,No,Yes,No,Up to date,39.4,81.2,Mastitis
Buffalo,11,No,No,No,Not Vaccinated,41.1,87.7,Heat Stress
Goat,14,Yes,Yes,No,Not Vaccinated,39.1,40.4,Mastitis
Sheep,7,Yes,No,Yes,Not Vaccinated,40.6,37.8,Foot and Mouth
Buffalo,6,No,No,No,Not Vaccinated,37.8,63.5,Healthy
Goat,10,No,No,No,Up to date,38.2,60.8,Healthy
Cow,3,No,No,No,Not Vaccinated,38.1,56.1,Healthy
Goat,7,No,No,No,Not Vaccinated,37.9,42.2,Healthy
Buffalo,9,No,No,No,Up to date,37.8,35.9,Healthy
Sheep,8,Yes,No,Yes,Up to date,39.5,86.4,Respiratory Infection
Sheep,6,No,No,No,Up to date,38.0,56.9,Healthy
Goat,10,No,Yes,Yes,Up to date,39.0,55.5,Mastitis
Cow,5,No,No,No,Up to date,37.7,61.9,Healthy
Sheep,9,No,No,No,Up to date,38.2,42.6,Healthy
Goat,5,No,No,No,Up to date,38.4,87.6,Healthy
Cow,13,No,No,No,Up to date,37.8,44.3,Healthy
Buffalo,9,No,No,No,Up to date,38.5,39.4,Healthy
Cow,9,Yes,No,No,Up to date,39.8,84.6,Respiratory Infection
Buffalo,10,No,Yes,Yes,Not Vaccinated,39.7,83.0,Mastitis
Goat,4,No,No,No,Not Vaccinated,37.8,64.2,Healthy
Goat,6,Yes,No,No,Up to date,39.7,86.3,Respiratory Infection
Goat,13,No,No,No,Not Vaccinated,38.2,39.2,Healthy
Goat,3,No,Yes,No,Up to date,41.2,84.5,Heat Stress
Cow,1,No,Yes,Yes,Up to date,39.6,84.1,Mastitis
Cow,2,No,No,No,Not Vaccinated,37.7,39.3,Healthy
Buffalo,3,No,No,No,Not Vaccinated,37.7,37.9,Healthy
Goat,4,No,No,No,Not Vaccinated,38.3,37.1,Healthy
Sheep,11,No,No,No,Not Vaccinated,38.1,58.4,Healthy
Buffalo,5,Yes,No,Yes,Not Vaccinated,40.6,40.3,Foot and Mouth
Sheep,9,Yes,Yes,Yes,Up to date,39.7,63.1,Mastitis
Sheep,13,No,Yes,No,Up to date,39.8,86.9,Mastitis
Buffalo,11,No,No,No,Not Vaccinated,38.0,36.0,Healthy
Buffalo,4,No,No,No,Up to date,37.9,64.0,Healthy
Buffalo,14,No,Yes,No,Up to date,39.6,88.3,Mastitis
Buffalo,4,Yes,Yes,No,Not Vaccinated,39.8,80.8,Respiratory Infection
Goat,1,No,No,No,Up to date,37.9,61.3,Healthy
Cow,9,No,No,No,Up to date,38.5,57.2,Healthy
Cow,2,Yes,Yes,Yes,Up to date,39.5,81.1,Respiratory Infection
Cow,6,Yes,Yes,No,Up to date,38.0,86.9,Respiratory Infection
Sheep,4,No,No,Yes,Up to date,40.8,80.5,Heat Stress
Goat,6,No,No,No,Up to date,38.5,35.2,Healthy
Sheep,8,No,No,No,Up to date,37.6,56.9,Healthy
Goat,5,No,No,No,Up to date,37.6,87.3,Healthy
Cow,15,No,No,No,Up to date,37.5,64.4,Healthy
Cow,6,Yes,Yes,No,Not Vaccinated,38.1,80.2,Respiratory Infection
Cow,15,Yes,Yes,No,Up to date,37.5,86.2,Respiratory Infection
Goat,7,No,No,No,Up to date,38.0,41.7,Healthy
Cow,4,No,No,No,Not Vaccinated,37.6,44.3,Healthy
Sheep,15,Yes,No,Yes,Not Vaccinated,39.3,84.5,Respiratory Infection
Buffalo,7,Yes,Yes,Yes,Not Vaccinated,40.6,42.1,Foot and Mouth
Buffalo,9,Yes,No,No,Not Vaccinated,38.1,83.1,Respiratory Infection
Buffalo,5,Yes,Yes,Yes,Not Vaccinated,39.6,37.8,Mastitis
Cow,10,Yes,Yes,Yes,Not Vaccinated,39.2,86.1,Respiratory Infection
Cow,8,No,No,No,Not Vaccinated,37.7,38.5,Healthy
Cow,14,Yes,Yes,No,Up to date,39.4,35.3,Mastitis
Buffalo,5,Yes,Yes,Yes,Up to date,39.5,55.4,Mastitis
Goat,15,No,Yes,No,Up to date,39.4,38.4,Mastitis
Sheep,10,No,No,No,Up to date,37.9,55.5,Healthy
Sheep,1,No,No,No,Not Vaccinated,38.3,62.1,Healthy
Sheep,4,No,No,No,Up to date,37.7,58.7,Healthy
Sheep,4,No,No,No,Up to date,37.7,43.0,Healthy
Buffalo,5,No,No,No,Not Vaccinated,38.0,64.6,Healthy
Buffalo,8,No,No,No,Not Vaccinated,38.3,59.3,Healthy
Buffalo,5,No,Yes,No,Up to date,40.8,84.6,Heat Stress
Buffalo,11,No,No,No,Up to date,38.3,58.0,Healthy
Cow,10,No,No,No,Not Vaccinated,38.2,55.1,Healthy
Goat,5,No,No,No,Not Vaccinated,37.7,89.0,Healthy
Cow,13,Yes,No,No,Up to date,37.9,88.8,Respiratory Infection
Buffalo,8,No,Yes,Yes,Up to date,39.7,55.4,Mastitis
Sheep,10,No,No,No,Not Vaccinated,37.7,63.4,Healthy
Buffalo,4,No,No,No,Not Vaccinated,37.9,36.2,Healthy
Cow,11,No,No,No,Not Vaccinated,38.1,57.0,Healthy
Goat,2,Yes,No,No,Up to date,40.8,85.5,Heat Stress
Cow,1,No,No,No,Not Vaccinated,38.1,58.8,Healthy
Cow,14,No,Yes,No,Not Vaccinated,40.9,83.8,Heat Stress
Buffalo,4,Yes,No,Yes,Up to date,39.9,81.7,Respiratory Infection
Goat,15,Yes,No,Yes,Not Vaccinated,38.1,84.5,Respiratory Infection
Sheep,11,No,No,No,Not Vaccinated,37.8,60.0,Healthy
Sheep,11,Yes,Yes,Yes,Not Vaccinated,39.4,38.9,Mastitis
Cow,12,Yes,Yes,No,Up to date,39.5,56.8,Mastitis
Goat,13,No,No,No,Up to date,37.7,82.2,Healthy
Cow,2,Yes,No,No,Not Vaccinated,37.6,87.9,Respiratory Infection
Cow,2,No,No,No,Up to date,37.7,61.6,Healthy
Goat,11,Yes,Yes,No,Not Vaccinated,39.5,42.2,Mastitis
Sheep,11,No,Yes,No,Up to date,40.6,81.5,Heat Stress
Buffalo,14,No,No,No,Up to date,37.6,41.5,Healthy
Buffalo,4,Yes,No,Yes,Up to date,39.5,86.9,Respiratory Infection
Cow,2,No,No,No,Not Vaccinated,37.9,62.2,Healthy
Goat,3,Yes,No,No,Up to date,40.7,86.2,Heat Stress
Sheep,2,No,No,No,Up to date,38.4,41.8,Healthy
Buffalo,5,Yes,Yes,Yes,Up to date,40.7,86.0,Heat Stress
Cow,4,No,No,No,Up to date,38.3,35.2,Healthy
Goat,4,No,No,No,Not Vaccinated,38.5,43.2,Healthy
Buffalo,9,No,No,No,Not Vaccinated,38.0,43.5,Healthy
Sheep,2,No,No,No,Up to date,38.0,39.6,Healthy
Buffalo,4,No,Yes,Yes,Up to date,39.5,36.7,Mastitis
Buffalo,14,No,No,No,Up to date,37.9,88.0,Healthy
Buffalo,7,No,No,No,Not Vaccinated,37.8,56.4,Healthy
Goat,10,No,No,No,Not Vaccinated,38.2,43.8,Healthy
Cow,9,Yes,No,Yes,Up to date,41.3,35.7,Foot and Mouth
Buffalo,5,No,No,No,Not Vaccinated,38.1,64.8,Healthy
Goat,10,No,No,No,Not Vaccinated,38.1,58.6,Healthy
Buffalo,7,No,No,No,Up to date,37.5,42.2,Healthy
Cow,9,No,No,No,Not Vaccinated,38.3,39.1,Healthy
Buffalo,10,No,No,No,Not Vaccinated,38.0,38.7,Healthy
Cow,2,No,Yes,No,Not Vaccinated,39.7,82.5,Mastitis
Goat,14,No,No,No,Up to date,37.5,62.7,Healthy
Buffalo,14,No,No,No,Not Vaccinated,38.2,40.2,Healthy
Goat,15,No,No,No,Not Vaccinated,37.9,81.7,Healthy
Buffalo,5,No,No,No,Up to date,37.8,58.1,Healthy
Cow,15,No,No,No,Up to date,37.7,61.3,Healthy
Goat,2,No,Yes,Yes,Up to date,39.5,44.9,Mastitis
Sheep,10,No,No,No,Not Vaccinated,38.4,55.2,Healthy
Buffalo,12,No,No,No,Not Vaccinated,37.9,57.3,Healthy
Sheep,12,No,No,No,Up to date,38.2,40.7,Healthy
Buffalo,2,No,No,No,Up to date,38.2,42.7,Healthy
Cow,5,No,No,No,Not Vaccinated,38.2,42.7,Healthy
Goat,12,Yes,Yes,No,Up to date,39.3,81.0,Respiratory Infection
Buffalo,4,No,No,No,Up to date,38.5,60.5,Healthy
Goat,3,No,No,No,Not Vaccinated,38.3,63.3,Healthy
Cow,10,No,No,No,Not Vaccinated,37.6,60.9,Healthy
Buffalo,15,Yes,Yes,No,Up to date,41.2,87.2,Heat Stress
Cow,14,No,No,No,Up to date,37.5,37.2,Healthy
Cow,12,No,Yes,Yes,Up to date,39.3,87.7,Mastitis
Goat,1,No,No,No,Up to date,37.7,38.5,Healthy
Buffalo,6,No,No,No,Not Vaccinated,38.0,85.1,Healthy
Cow,4,No,No,No,Up to date,38.1,57.1,Healthy
Buffalo,9,No,No,No,Not Vaccinated,37.5,43.1,Healthy
Goat,13,Yes,Yes,Yes,Not Vaccinated,38.1,85.4,Respiratory Infection
Goat,8,No,No,No,Not Vaccinated,38.2,62.0,Healthy
Sheep,10,No,No,No,Up to date,37.8,59.0,Healthy
Goat,12,No,No,No,Up to date,38.5,39.4,Healthy
Buffalo,8,No,No,No,Up to date,38.1,58.4,Healthy
Goat,13,No,No,No,Up to date,38.2,58.5,Healthy
Buffalo,13,No,No,No,Up to date,37.8,35.9,Healthy
Goat,11,No,No,No,Up to date,38.3,55.6,Healthy
Buffalo,4,No,No,No,Up to date,37.6,56.6,Healthy
Buffalo,14,No,No,No,Not Vaccinated,38.4,45.0,Healthy
Goat,3,No,No,No,Up to date,37.9,35.6,Healthy
Buffalo,6,Yes,Yes,No,Not Vaccinated,39.2,39.5,Mastitis
Buffalo,2,No,No,No,Not Vaccinated,37.6,36.1,Healthy
Cow,9,No,No,No,Not Vaccinated,37.9,58.3,Healthy
Goat,12,No,No,No,Not Vaccinated,37.5,41.1,Healthy
Sheep,12,No,Yes,Yes,Up to date,39.9,84.4,Mastitis
Goat,2,Yes,No,Yes,Up to date,41.1,89.8,Heat Stress
Goat,9,No,Yes,No,Up to date,39.9,61.4,Mastitis
Cow,14,No,No,No,Up to date,37.9,63.9,Healthy
Cow,6,Yes,Yes,Yes,Not Vaccinated,37.6,84.7,Respiratory Infection
Goat,13,No,No,No,Up to date,38.5,55.9,Healthy
Buffalo,5,No,No,No,Up to date,38.0,56.8,Healthy
Buffalo,2,No,No,No,Up to date,38.3,42.9,Healthy
Buffalo,9,Yes,Yes,Yes,Not Vaccinated,40.7,82.4,Heat Stress
Goat,3,Yes,Yes,No,Up to date,39.9,55.2,Mastitis
Buffalo,4,Yes,No,Yes,Not Vaccinated,40.7,62.6,Foot and Mouth
Cow,15,No,No,No,Not Vaccinated,38.0,89.7,Healthy
Cow,7,No,Yes,Yes,Not Vaccinated,40.6,87.0,Heat Stress
Buffalo,14,No,Yes,No,Not Vaccinated,39.7,39.9,Mastitis
Buffalo,1,No,No,No,Up to date,37.9,58.6,Healthy
Cow,3,No,No,No,Not Vaccinated,38.3,56.1,Healthy
Goat,7,No,No,No,Not Vaccinated,37.6,59.0,Healthy
Cow,14,Yes,Yes,No,Not Vaccinated,40.0,59.4,Mastitis
Goat,9,Yes,No,Yes,Up to date,41.2,62.0,Foot and Mouth
Goat,5,Yes,Yes,Yes,Not Vaccinated,41.0,87.1,Heat Stress
Sheep,14,No,No,No,Not Vaccinated,37.5,64.7,Healthy
Buffalo,7,No,Yes,Yes,Not Vaccinated,39.4,59.0,Mastitis
Cow,12,Yes,Yes,No,Not Vaccinated,38.0,88.9,Respiratory Infection
Goat,1,No,Yes,Yes,Up to date,40.7,84.6,Heat Stress
Goat,1,No,No,No,Not Vaccinated,38.3,56.3,Healthy
Goat,15,No,No,No,Up to date,37.9,59.3,Healthy
Goat,9,Yes,Yes,Yes,Not Vaccinated,39.7,80.1,Respiratory Infection
Cow,14,No,No,No,Not Vaccinated,38.3,57.2,Healthy
Cow,15,No,No,No,Up to date,37.7,84.0,Healthy
Sheep,8,No,No,No,Up to date,37.9,88.5,Healthy
Buffalo,7,No,No,No,Up to date,38.2,42.5,Healthy
Sheep,5,Yes,No,Yes,Up to date,39.6,85.2,Respiratory Infection
Cow,13,No,No,No,Up to date,38.0,86.9,Healthy
Buffalo,12,Yes,Yes,Yes,Not Vaccinated,39.1,36.4,Mastitis
Sheep,6,No,No,No,Up to date,38.2,83.2,Healthy
Buffalo,7,No,Yes,No,Up to date,39.1,84.1,Mastitis
Sheep,10,No,No,No,Not Vaccinated,37.5,88.1,Healthy
Sheep,7,No,No,No,Up to date,38.2,42.2,Healthy
Sheep,4,No,No,No,Up to date,38.3,43.8,Healthy
Buffalo,5,Yes,No,Yes,Up to date,41.3,44.5,Foot and Mouth
Cow,12,No,Yes,Yes,Up to date,39.4,43.1,Mastitis
Sheep,15,No,No,No,Not Vaccinated,38.4,37.0,Healthy
Goat,12,No,Yes,Yes,Up to date,39.3,86.6,Mastitis
Sheep,10,No,Yes,Yes,Not Vaccinated,39.6,86.2,Mastitis
Sheep,2,No,No,No,Not Vaccinated,37.8,35.1,Healthy
Cow,3,No,No,No,Up to date,38.1,58.1,Healthy
Sheep,13,Yes,No,Yes,Not Vaccinated,40.8,35.7,Foot and Mouth
Goat,6,Yes,Yes,Yes,Up to date,41.3,44.1,Foot and Mouth
Cow,8,Yes,Yes,Yes,Not Vaccinated,41.5,86.8,Heat Stress
Cow,8,Yes,No,No,Up to date,37.8,80.5,Respiratory Infection
Buffalo,13,No,No,No,Up to date,37.7,61.5,Healthy
Cow,7,No,No,No,Up to date,38.1,57.8,Healthy
Goat,6,No,Yes,No,Not Vaccinated,39.4,57.7,Mastitis
Buffalo,12,Yes,No,Yes,Not Vaccinated,41.2,41.2,Foot and Mouth
Goat,6,No,No,No,Up to date,37.6,84.8,Healthy
Sheep,13,Yes,Yes,Yes,Up to date,40.7,88.5,Heat Stress
Buffalo,3,No,No,No,Not Vaccinated,37.6,56.9,Healthy
Buffalo,10,No,No,No,Not Vaccinated,38.0,59.5,Healthy
Goat,5,No,No,Yes,Up to date,41.0,82.7,Heat Stress
Cow,10,No,No,No,Up to date,37.5,59.2,Healthy
Cow,9,No,No,No,Up to date,37.9,59.2,Healthy
Buffalo,6,No,No,No,Not Vaccinated,37.5,42.3,Healthy
Cow,11,No,No,No,Up to date,38.2,84.6,Healthy
Goat,14,Yes,No,No,Not Vaccinated,39.0,85.8,Respiratory Infection
Cow,13,Yes,Yes,No,Not Vaccinated,37.8,88.3,Respiratory Infection
Cow,5,No,No,No,Not Vaccinated,37.6,59.0,Healthy
Sheep,2,No,Yes,Yes,Up to date,41.0,87.2,Heat Stress
Cow,9,No,No,No,Up to date,37.6,60.7,Healthy
Goat,5,No,No,No,Not Vaccinated,37.6,39.3,Healthy
Sheep,4,No,No,No,Not Vaccinated,38.3,64.8,Healthy
Buffalo,5,Yes,Yes,Yes,Up to date,37.6,86.1,Respiratory Infection
Buffalo,2,No,No,No,Up to date,37.5,58.8,Healthy
Buffalo,14,No,No,No,Not Vaccinated,38.4,62.3,Healthy
Cow,15,No,No,No,Up to date,37.7,59.8,Healthy
Sheep,2,No,No,No,Not Vaccinated,37.9,62.0,Healthy
Goat,6,No,Yes,No,Up to date,40.7,82.6,Heat Stress
Buffalo,6,No,No,No,Up to date,38.3,59.2,Healthy
Sheep,2,No,Yes,No,Not Vaccinated,40.9,84.7,Heat Stress
Goat,3,No,No,No,Up to date,37.7,36.2,Healthy
Cow,8,No,No,No,Not Vaccinated,37.8,57.8,Healthy
Sheep,14,Yes,Yes,Yes,Not Vaccinated,39.4,57.9,Mastitis
Sheep,1,Yes,Yes,Yes,Up to date,41.3,64.7,Foot and Mouth
Sheep,6,No,Yes,Yes,Not Vaccinated,39.8,43.9,Mastitis
Goat,3,No,No,No,Up to date,37.9,86.3,Healthy
Sheep,13,Yes,Yes,No,Not Vaccinated,38.1,83.5,Respiratory Infection
Sheep,15,No,No,No,Up to date,38.0,82.6,Healthy
Sheep,12,No,No,No,Not Vaccinated,38.2,42.5,Healthy
Cow,13,Yes,No,No,Up to date,38.1,84.7,Respiratory Infection
Goat,7,No,No,No,Up to date,38.2,37.4,Healthy
Goat,5,Yes,Yes,No,Not Vaccinated,39.8,60.9,Mastitis
Buffalo,10,No,No,No,Up to date,38.4,61.0,Healthy
Goat,7,Yes,No,Yes,Up to date,37.6,86.2,Respiratory Infection
Cow,9,No,No,No,Not Vaccinated,37.9,56.5,Healthy
Sheep,9,Yes,Yes,No,Not Vaccinated,37.9,84.5,Respiratory Infection
Goat,10,No,No,No,Not Vaccinated,37.6,57.3,Healthy
Sheep,8,No,No,No,Up to date,37.7,58.4,Healthy
Cow,13,No,Yes,Yes,Up to date,39.4,40.6,Mastitis
Buffalo,5,No,No,No,Up to date,37.6,41.7,Healthy
Sheep,13,No,No,No,Up to date,38.0,35.8,Healthy
Goat,5,No,No,No,Up to date,38.4,57.9,Healthy
Goat,12,Yes,Yes,Yes,Up to date,41.4,61.8,Foot and Mouth
Buffalo,8,No,No,No,Not Vaccinated,37.8,35.2,Healthy
Sheep,15,No,No,No,Up to date,38.1,64.2,Healthy
Goat,9,No,Yes,Yes,Up to date,39.3,57.5,Mastitis
Cow,12,No,No,No,Up to date,37.9,35.8,Healthy
Cow,13,Yes,No,Yes,Up to date,40.9,62.7,Foot and Mouth
Sheep,11,No,No,No,Not Vaccinated,38.3,56.9,Healthy
Cow,5,No,Yes,Yes,Up to date,39.9,62.4,Mastitis
Cow,1,No,Yes,No,Not Vaccinated,41.2,82.7,Heat Stress
Buffalo,11,No,No,No,Up to date,37.7,61.2,Healthy
Cow,7,No,No,No,Not Vaccinated,37.5,55.0,Healthy
Cow,4,Yes,No,No,Not Vaccinated,39.4,89.1,Respiratory Infection
Sheep,13,No,No,No,Up to date,38.2,38.8,Healthy
Sheep,14,Yes,Yes,No,Up to date,39.1,64.5,Mastitis
Buffalo,6,Yes,Yes,No,Up to date,39.3,58.4,Mastitis
Buffalo,6,No,No,No,Not Vaccinated,37.8,62.0,Healthy
Cow,2,Yes,Yes,Yes,Up to date,39.4,85.6,Respiratory Infection
Goat,12,No,No,No,Up to date,37.9,59.7,Healthy
Buffalo,1,No,No,No,Up to date,37.8,58.8,Healthy
Sheep,12,No,No,No,Up to date,38.4,60.8,Healthy
Buffalo,10,No,No,No,Not Vaccinated,38.1,38.2,Healthy
Buffalo,2,No,No,No,Not Vaccinated,37.8,55.4,Healthy
Cow,10,No,No,No,Up to date,37.9,39.5,Healthy
